YEAR,MONTH_NUMBER,MONTH,REPORT_PERIOD,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,COMPLAINT,INITIATED_BY,STATUS,COUNT,LATITUDE,LONGITUDE
2016,2,FEBRUARY,Feb-16,Jackson Heights,6330,1,By-law Officer,Under Investigation,1,53.48166024,-113.4108477
2016,2,FEBRUARY,Feb-16,Inglewood,3240,1,By-law Officer,Under Investigation,1,53.56460647,-113.5408522
2016,3,MARCH,Mar-16,Weinlos,6770,1,By-law Officer,Under Investigation,5,53.45990679,-113.413836
2016,3,MARCH,Mar-16,Ambleside,5505,1,Citizen,Under Investigation,2,53.43064139,-113.6006766
2016,3,MARCH,Mar-16,Forest Heights,6230,1,Citizen,Under Investigation,1,53.54453706,-113.45125
2016,2,FEBRUARY,Feb-16,Homesteader,2350,1,Citizen,Under Investigation,1,53.58472042,-113.4064588
2016,3,MARCH,Mar-16,Keheewin,5250,1,Citizen,Under Investigation,2,53.45024253,-113.5045129
2016,2,FEBRUARY,Feb-16,Minchau,6530,1,By-law Officer,Under Investigation,1,53.46982918,-113.4127659
2016,3,MARCH,Mar-16,Britannia Youngstown,4060,1,By-law Officer,Under Investigation,1,53.54629462,-113.6015104
2016,3,MARCH,Mar-16,Queen Alexandra,5330,1,Citizen,Under Investigation,1,53.51221972,-113.5048124
2016,3,MARCH,Mar-16,MacEwan,5452,1,Citizen,Under Investigation,1,53.42874568,-113.526948
2016,3,MARCH,Mar-16,Kameyosek,6340,1,By-law Officer,Under Investigation,1,53.46191874,-113.4420679
2016,2,FEBRUARY,Feb-16,Alberta Avenue,1010,1,Citizen,Under Investigation,1,53.56848538,-113.4851192
2016,3,MARCH,Mar-16,Ekota,6200,1,Citizen,Under Investigation,1,53.44941008,-113.4423357
2016,3,MARCH,Mar-16,Fraser,2280,1,Citizen,Under Investigation,1,53.61111379,-113.3736697
2016,1,JANUARY,Jan-16,Strathcona,5480,1,By-law Officer,Under Investigation,7,53.52239019,-113.4909856
2016,2,FEBRUARY,Feb-16,Holyrood,6310,1,By-law Officer,Under Investigation,3,53.53136058,-113.4501898
2016,2,FEBRUARY,Feb-16,McCauley,1140,1,Citizen,Under Investigation,1,53.5546051,-113.485098
2016,3,MARCH,Mar-16,Ekota,6200,1,By-law Officer,Under Investigation,2,53.44941008,-113.4423357
2016,3,MARCH,Mar-16,Overlanders,2590,1,By-law Officer,Under Investigation,1,53.58101065,-113.3881765
2016,3,MARCH,Mar-16,Belvedere,2080,1,By-law Officer,Under Investigation,1,53.5910569,-113.4360629
2016,3,MARCH,Mar-16,Ermineskin,5180,1,Citizen,Under Investigation,1,53.45763949,-113.5057283
2016,3,MARCH,Mar-16,Caernarvon,3060,1,Citizen,Under Investigation,1,53.61189975,-113.5264017
2016,2,FEBRUARY,Feb-16,Laurel,6444,1,By-law Officer,Under Investigation,1,53.44579914,-113.3814704
2016,1,JANUARY,Jan-16,Calder,3070,1,By-law Officer,Under Investigation,1,53.58805578,-113.5288721
2016,3,MARCH,Mar-16,Menisa,6450,1,By-law Officer,Under Investigation,2,53.44206966,-113.4473749
2016,3,MARCH,Mar-16,Lorelei,3280,1,By-law Officer,Under Investigation,1,53.62459274,-113.5044658
2016,3,MARCH,Mar-16,Keswick Area,5576,1,Citizen,Under Investigation,2,53.41760015,-113.635797
2016,3,MARCH,Mar-16,Ritchie,6610,1,Citizen,Under Investigation,1,53.5132751,-113.4827421
2016,3,MARCH,Mar-16,York,2720,1,Citizen,Under Investigation,3,53.60284342,-113.4302123
2016,3,MARCH,Mar-16,Kameyosek,6340,1,Citizen,Under Investigation,1,53.46191874,-113.4420679
2016,3,MARCH,Mar-16,Sakaw,6670,1,By-law Officer,Under Investigation,2,53.44197993,-113.4288283
2016,3,MARCH,Mar-16,Strathcona,5480,1,Citizen,Under Investigation,1,53.52239019,-113.4909856
2016,3,MARCH,Mar-16,Industrial Heights,2360,1,Citizen,Under Investigation,1,53.58098253,-113.437473
2016,3,MARCH,Mar-16,Keheewin,5250,1,Citizen,Under Investigation,1,53.45024253,-113.5045129
2016,3,MARCH,Mar-16,Ritchie,6610,1,Citizen,Under Investigation,2,53.5132751,-113.4827421
2016,2,FEBRUARY,Feb-16,Alberta Avenue,1010,1,By-law Officer,Under Investigation,2,53.56848538,-113.4851192
2016,3,MARCH,Mar-16,Gold Bar,6270,1,Citizen,Under Investigation,1,53.54890801,-113.4120039
2016,3,MARCH,Mar-16,Beacon Heights,2040,1,By-law Officer,Under Investigation,3,53.57353938,-113.4060401
2016,3,MARCH,Mar-16,Lauderdale,3260,1,By-law Officer,Under Investigation,2,53.58844885,-113.5042562
2016,3,MARCH,Mar-16,Capilano,6061,1,Citizen,Under Investigation,1,53.55467209,-113.4227924
2016,3,MARCH,Mar-16,Lauderdale,3260,1,Citizen,Under Investigation,1,53.58844885,-113.5042562
2016,3,MARCH,Mar-16,Crawford Plains,6140,1,Citizen,Under Investigation,2,53.44183746,-113.4062159
2016,2,FEBRUARY,Feb-16,Central McDougall,1030,1,By-law Officer,Under Investigation,1,53.55328207,-113.5010679
2016,3,MARCH,Mar-16,Newton,2560,1,By-law Officer,Under Investigation,1,53.57642437,-113.424532
2016,3,MARCH,Mar-16,Westwood,1250,2,Citizen,Under Investigation,1,53.57594236,-113.4985846
2016,3,MARCH,Mar-16,Alberta Avenue,1010,1,Citizen,Under Investigation,3,53.56848538,-113.4851192
2016,3,MARCH,Mar-16,Balwin,2020,1,Citizen,Under Investigation,2,53.58795101,-113.4550753
2016,2,FEBRUARY,Feb-16,Terwillegar Towne,5640,1,Citizen,Under Investigation,2,53.45067025,-113.5777384
2016,3,MARCH,Mar-16,Elmwood,4140,1,Citizen,Under Investigation,1,53.51573826,-113.6059933
2016,3,MARCH,Mar-16,Menisa,6450,1,Citizen,Under Investigation,2,53.44206966,-113.4473749
2016,3,MARCH,Mar-16,Athlone,3010,1,Citizen,Under Investigation,2,53.58802604,-113.5509822
2016,3,MARCH,Mar-16,Tamarack,6443,1,By-law Officer,Under Investigation,5,53.46481389,-113.3591655
2016,3,MARCH,Mar-16,McConachie Area,2521,1,By-law Officer,Under Investigation,16,53.63645165,-113.4313223
2016,3,MARCH,Mar-16,West Jasper Place,4580,1,By-law Officer,Under Investigation,6,53.53662987,-113.5841443
2016,3,MARCH,Mar-16,Forest Heights,6230,1,By-law Officer,Under Investigation,2,53.54453706,-113.45125
2016,3,MARCH,Mar-16,Belmont,2070,1,By-law Officer,Under Investigation,1,53.59312408,-113.3943792
2016,3,MARCH,Mar-16,Greenfield,5220,1,Citizen,Under Investigation,2,53.47107265,-113.5275054
2016,3,MARCH,Mar-16,Malmo Plains,5280,1,Citizen,Under Investigation,4,53.48567699,-113.5289921
2016,3,MARCH,Mar-16,Glengarry,2290,1,By-law Officer,Under Investigation,2,53.59585546,-113.4796117
2016,3,MARCH,Mar-16,Highlands,2330,1,By-law Officer,Under Investigation,6,53.56599859,-113.4301705
2016,3,MARCH,Mar-16,Weir Industrial,6780,1,Citizen,Under Investigation,1,53.51176506,-113.4061073
2016,3,MARCH,Mar-16,Greenfield,5220,1,By-law Officer,Under Investigation,1,53.47107265,-113.5275054
